Category,Model name,Manufacturer,Serial number,Asset Tag,Location,Company,Status
"2.5"" HDD",500GB HDD,Western Digital,WXA1E54ALXV2,WXA1E54ALXV2,CC - Bay 2,Penta Career Center,Ready to Deploy
"2.5"" HDD",500GB HDD,Western Digital,WX11E44DLR53,WX11E44DLR53,CC - Bay 2,Penta Career Center,Ready to Deploy
"2.5"" HDD",500GB HDD,Western Digital,WX41A646TLFJ,WX41A646TLFJ,CC - Bay 2,Penta Career Center,Ready to Deploy
"2.5"" HDD",500GB HDD,Western Digital,WX41A64JK7C1,WX41A64JK7C1,CC - Bay 2,Penta Career Center,Ready to Deploy
"2.5"" HDD",500GB HDD,Western Digital,WX41A646TUUU,WX41A646TUUU,CC - Bay 2,Penta Career Center,Ready to Deploy
"2.5"" HDD",500GB HDD,Western Digital,WX21E54V6146,WX21E54V6146,CC - Bay 2,Penta Career Center,Ready to Deploy
"2.5"" HDD",500GB HDD,Western Digital,WXA1E54YKF26,WXA1E54YKF26,CC - Bay 2,Penta Career Center,Ready to Deploy
"2.5"" HDD",500GB HDD,Western Digital,WX21E54V6919,WX21E54V6919,CC - Bay 2,Penta Career Center,Ready to Deploy
"2.5"" HDD",500GB HDD,Western Digital,WX41A646TLEK,WX41A646TLEK,CC - Bay 2,Penta Career Center,Ready to Deploy
"2.5"" HDD",500GB HDD,Western Digital,WX41A646T502,WX41A646T502,CC - Bay 2,Penta Career Center,Ready to Deploy
"2.5"" HDD",500GB HDD,Western Digital,WX41A64JK401,WX41A64JK401,CC - Bay 2,Penta Career Center,Ready to Deploy
"2.5"" HDD",500GB HDD,Western Digital,WXA1E54ALWC8,WXA1E54ALWC8,CC - Bay 2,Penta Career Center,Ready to Deploy
"2.5"" HDD",500GB HDD,Western Digital,WX21E54JE878,WX21E54JE878,CC - Bay 2,Penta Career Center,Ready to Deploy
"2.5"" HDD",500GB HDD,Western Digital,WX41A64NSCC8,WX41A64NSCC8,CC - Bay 2,Penta Career Center,Ready to Deploy
"2.5"" HDD",500GB HDD,Western Digital,WX21E54KK165,WX21E54KK165,CC - Bay 2,Penta Career Center,Ready to Deploy
"2.5"" HDD",500GB HDD,Western Digital,WXA1E54CDMX9,WXA1E54CDMX9,CC - Bay 2,Penta Career Center,Ready to Deploy
"2.5"" HDD",500GB HDD,Western Digital,WX51A846DJNC,WX51A846DJNC,CC - Bay 2,Penta Career Center,Ready to Deploy
"2.5"" HDD",500GB HDD,Western Digital,WXL1E54HWJV6,WXL1E54HWJV6,CC - Bay 2,Penta Career Center,Ready to Deploy
"2.5"" HDD",500GB HDD,Western Digital,WX21E54KN762,WX21E54KN762,CC - Bay 2,Penta Career Center,Ready to Deploy
"2.5"" HDD",500GB HDD,Western Digital,WX21E54V6153,WX21E54V6153,CC - Bay 2,Penta Career Center,Ready to Deploy
"2.5"" HDD",500GB HDD,Western Digital,WX21E54AS723,WX21E54AS723,CC - Bay 2,Penta Career Center,Ready to Deploy
"2.5"" HDD",500GB HDD,Western Digital,WXA1E54XNR19,WXA1E54XNR19,CC - Bay 2,Penta Career Center,Ready to Deploy
"2.5"" HDD",500GB HDD,Western Digital,WX21E54JD515,WX21E54JD515,CC - Bay 2,Penta Career Center,Ready to Deploy
"2.5"" HDD",500GB HDD,Western Digital,WX21E54V5590,WX21E54V5590,CC - Bay 2,Penta Career Center,Ready to Deploy
"2.5"" HDD",500GB HDD,Western Digital,WXA1E54YLD11,WXA1E54YLD11,CC - Bay 2,Penta Career Center,Ready to Deploy
"2.5"" HDD",500GB HDD,Western Digital,WX41A64NSJCV,WX41A64NSJCV,CC - Bay 2,Penta Career Center,Ready to Deploy
